Command,Label
Where is the nearest coffee shop,0
Show me a nearby coffee shop,0
Get me directions to a coffee shop,0
Guide me to the closest coffee shop,0
Take me to a café,0
Navigate to the nearest café,0
Bring me to a coffee place,0
How can I reach the nearest coffee shop,0
Find a coffee shop close by,0
Can you take me to a nearby café,0
Take me to the closest school,1
Navigate to a school nearby,1
Guide me to the nearest school,1
Find a school near here,1
Show me how to get to a school,1
I need to go to the nearest school,1
Can you take me to a school nearby,1
Where is the closest school,1
Find a route to the nearest school,1
Navigate me to the school in this area,1
Take me to a nearby park,2
Navigate to the closest park,2
Show me how to get to a park,2
Guide me to the nearest park,2
Where is a park near me,2
Find a park close by,2
Get me directions to the closest park,2
Lead me to the nearest park,2
I want to go to a nearby park,2
Show me a recreation area nearby,2
I need directions to the hospital,3
Take me to a medical center,3
Where is the closest hospital,3
Navigate to the nearest clinic,3
Bring me to a hospital,3
Guide me to the closest ER,3
Find a hospital nearby,3
How do I get to a hospital near here,3
Can you show me the nearest hospital,3
Navigate me to the nearest medical facility,3
Take me to the nearest grocery store,4
Navigate to a supermarket,4
Where is the closest grocery store,4
Show me a route to the grocery store,4
Bring me to a supermarket,4
Find a nearby grocery store,4
Guide me to a supermarket near here,4
I need to get to the nearest store,4
Show me the way to a grocery shop,4
Navigate me to the closest food market,4